idClass,idStudent,score
9,1,0.84
10,1,0.58
56,1,0.92
57,1,8.54
44,1,8.67
9,2,1.69
10,2,5.44
56,2,6.15
57,2,9.21
44,2,4.36
9,3,6.68
10,3,0.9
56,3,4.81
57,3,3.59
44,3,9.97
9,4,6.63
10,4,8.51
56,4,8.35
57,4,1.94
44,4,7.83
9,5,4.44
10,5,1.26
56,5,7.82
57,5,7.78
44,5,5.81
9,6,9.82
10,6,5.68
56,6,9.08
57,6,1.55
44,6,5.02
9,7,9.2
10,7,1.58
56,7,9.06
57,7,9.73
44,7,2.49
9,8,6.74
10,8,3.56
56,8,3.04
57,8,0.7
44,8,8.65
9,9,3.83
10,9,4.59
56,9,7.29
57,9,0.6
44,9,4.04
9,10,5.54
10,10,5.55
56,10,8.27
57,10,9.23
44,10,6.14
9,11,2.51
10,11,2.02
56,11,8.85
57,11,8.22
44,11,0.89
9,12,8.76
10,12,1.7
56,12,5.52
57,12,7.81
44,12,1.51
9,13,7.52
10,13,2.47
56,13,4.51
57,13,3.35
44,13,6.12
9,14,8.06
10,14,2.36
56,14,5.08
57,14,5.05
44,14,4.69
9,15,9.39
10,15,6.41
56,15,6.81
57,15,0.19
44,15,8.89
9,16,0.88
10,16,3.83
56,16,6.83
57,16,6.99
44,16,1.68
9,17,0.64
10,17,7.25
56,17,3.05
57,17,0.24
44,17,6.54
9,18,2.82
10,18,4.37
56,18,3.42
57,18,0.78
44,18,1.67
9,19,5.41
10,19,3.81
56,19,0.24
57,19,8.6
44,19,6.85
9,20,0.73
10,20,5.97
56,20,3.67
57,20,2.9
44,20,7.22
9,21,0.22
10,21,7.43
56,21,9.03
57,21,4.68
44,21,8.74
9,22,8.16
10,22,7.22
56,22,0.17
57,22,3.63
44,22,0.23
9,23,5.77
10,23,9.62
56,23,4.28
57,23,5.38
44,23,4.53
9,24,5.03
10,24,1.78
56,24,2.57
57,24,1.24
44,24,8.54
9,25,4.66
10,25,6.74
56,25,0.56
57,25,9.12
44,25,1.0
9,26,4.42
10,26,1.33
56,26,3.76
57,26,4.76
44,26,7.48
9,27,10.0
10,27,1.72
56,27,7.52
57,27,0.01
44,27,5.31
9,28,0.43
